GEOID,ALAND,Total Urban Area,Percent Rural
13089023315,23306088,13468543,42.21019418
13089021411,1667279,1667279,0
13089021416,777683,777683,0
13135050311,4876313,4876313,0
13117130414,6592840,6592840,0
13117130512,12145074,12145075,0
13117130511,6043795,6050933,0
13117130614,5287147,5287147,0
13117130615,4228311,4228311,0
13089021906,3108258,3108257,0
13121006601,1929137,1929137,0
13121010108,4965945,4965945,0
13121010508,3955918,3906754,1.242796236
13121010601,2930343,2930344,0
13121010603,6147998,6147998,0
13121010604,4756320,4740458,0.333493121
13063040639,9644750,5489712,43.08082636
13063040629,2221366,2221366,0
13063040309,2687771,2575102,4.191912183
13063040418,2789849,2789045,0
13063040420,7404226,7404226,0
13063040310,3745364,3750284,0
13063040424,3799806,3799415,0
13063040427,3865924,3865924,0
13063040537,3535125,3523640,0.32488243
13063040538,1499262,1499262,0
13063040635,4493261,4493261,0
13063040628,6004562,6004562,0
13063040633,3364165,3364165,0
13067030331,6302660,6302660,0
13067030332,3586978,3586978,0
13117130613,8059430,8059430,0
13067031001,14358044,14358623,0
13067030322,3679046,3679046,0
13067030319,6903193,6903180,0
13067031101,3329288,3328729,0
13067031110,2704162,2704162,0
13067030334,3953905,3953905,0
13067030335,5177919,5168276,0.186233118
13067030337,4555570,4555570,0
13067030104,4022239,4037199,0
13067030405,4005714,4004930,0
13067030505,5226059,5226062,0
13067030700,4307269,4307269,0
13067030324,3778854,3703148,2.003411616
13067030800,6325712,6325712,0
13067030326,7092189,7103180,0
13057090201,37118383,657199,98.22945143
13067031004,4166467,4166468,0
13057090301,10569242,8462962,19.92839222
13067031005,5065794,5065794,0
13057090303,44841079,10925631,75.6347723
13089021912,11065305,11068012,0
13057090401,5108077,5108076,0
13067030327,4831740,4831740,0
13057090402,39224565,9701797,75.26601761
13067031111,1955628,1955351,0
13057090503,39927540,4807072,87.96051046
13067031112,4085328,4085378,0
13057090603,23016643,7640734,66.80343871
13067030329,4267367,4267367,0
13057090604,13262079,5762489,56.54912778
13067031306,5539411,5539411,0
13057090605,6759946,4594082,32.03966422
13067031308,6403618,6403618,0
13057090606,14987581,14987579,0
13089021405,2403002,2403002,0
13057090703,8466955,8466954,0
13089022001,4377268,4377268,0
13057090704,7219794,7219794,0
13089022005,3294064,3294064,0
13057090705,7897412,7897412,0
13089023507,3583832,3583832,0
13057090706,7435755,7435755,0
13089023602,2738624,2738624,0
13057090707,2256814,2256814,0
13089023603,2946173,2946173,0
13057090708,6456847,6456849,0
13089021502,3624558,3591323,0.91693939
13057090709,3517282,3517282,0
13089021602,3189140,3189140,0
13057090710,8999307,8999306,0
13135050466,4153262,4153262,0
13057090805,19379735,15091361,22.1281354
13135050465,4403136,4397086,0.13740207
13057090806,7366890,7366890,0
13135050463,1718725,1713251,0.318491905
13057090807,8982010,8982009,0
13135050622,18782749,9427015,49.81024876
13057090808,14843579,14843580,0
13135050582,3156848,3156848,0
13057090809,24740521,7236406,70.75079381
13135050619,19400291,16272251,16.12367567
13057090810,19493849,5875513,69.85965676
13135050243,7623807,7624451,0
13057090905,4072560,4148335,0
13135050758,5181414,5181415,0
13057090906,9122798,9100452,0.244946781
13135050756,3470989,3470989,0
13057090907,5873205,5877725,0
13089021703,5219066,5219066,0
13057090908,3800653,3800654,0
13089022401,2633640,2633645,0
13057090909,4668361,4668427,0
13089022403,4863954,4861131,0
13057090910,7760858,7760793,0
13135050762,7991563,7988620,0
13057090911,14018247,14013726,0
13135050759,5372802,5372802,0
13057090912,8473076,8473076,0
