GEOID,Agricultural,Commercial Office,Commercial Office - 2+ Floors,Commercial Office - Mixed Use,Commercial Retail,Commercial Retail - Condomium,Commercial Retail - Department Store,Commercial Retail - Food & Drink,Commercial Retail - Gas and Service Station,"Commercial Retail - Hotel, Motel, Resort","Commercial Retail - Liquor, Convenience Store",Commercial Retail - Mall,"Commercial Retail - Park Lot, Garage","Commercial Retail - Shopping Plaza, Mini-Mall",Commercial Retail - Truck Stop,"Commercial Retail - Vet, Animal Hospital",Industrial ,"Industrial - Storage Yard, Open Storage",Industrial - Warehouse,Industrial-Heavy,"Industrial-Heavy - Distillery,Brewery, Bottling",Industrial-Heavy - Distribution Warehouse,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Multi-Family Residential - Mobile Home Park,Residential  ,Residential - Condo,Residential - Mobile Home Park,Residential - Parking Garage,Residential - Townhouse
13057090101,0,8,0,0,20,0,0,5,1,0,1,1,0,0,0,1,30,0,1,0,0,0,0,2,0,0,0,1435,0,101,0,0
13057090102,1,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,45,0,9,0,0,0,0,0,0,0,0,2028,0,62,0,0
13057090103,0,5,0,0,15,0,0,1,0,0,4,0,0,0,0,0,75,0,0,0,0,0,0,1,0,0,0,795,0,23,0,24
13057090201,0,1,0,0,6,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,861,0,49,0,0
13057090202,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2429,0,118,0,74
13057090301,0,1,0,0,12,11,0,1,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,1706,0,12,0,0
13057090302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,0,31,0,0
13057090303,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,2581,0,33,0,186
13057090401,0,65,0,0,41,0,1,17,4,8,5,13,0,0,0,0,9,0,0,0,0,0,7,23,28,0,0,389,0,1,0,247
13057090402,0,8,0,2,43,0,0,13,0,19,6,6,0,0,0,2,74,0,0,0,0,0,0,3,1,0,0,2071,0,28,0,108
13057090503,3,4,0,0,14,0,0,2,0,0,1,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1835,0,24,0,0
13057090504,1,0,0,0,7,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1735,0,12,0,0
13057090505,2,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,0,17,0,0
13057090506,1,20,0,0,2,0,0,1,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1593,0,38,0,1
13057090507,1,1,0,0,11,0,1,1,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,731,0,31,0,0
13057090603,0,18,0,0,12,0,3,6,0,0,2,4,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1811,0,20,0,1
13057090604,0,16,0,0,14,0,0,2,0,0,2,9,0,0,0,0,39,0,0,0,0,0,0,12,0,0,0,845,0,11,0,53
13057090605,0,34,0,0,42,0,0,2,0,0,5,9,0,0,0,3,30,0,0,0,0,0,0,41,0,0,0,843,0,1,0,124
13057090606,0,16,0,3,30,0,0,5,1,0,3,3,0,0,0,0,33,0,0,0,0,0,0,6,1,0,0,1080,0,18,0,12
13057090703,0,56,0,7,55,0,0,2,0,2,6,8,0,0,0,0,53,0,1,0,0,0,0,16,2,0,0,1014,0,4,0,56
13057090704,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,12,0,0,0,1378,0,13,0,0
13057090705,0,9,0,0,10,0,0,6,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,911,0,20,0,0
13057090706,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1592,0,3,0,127
13057090707,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,242
13057090708,0,4,0,0,32,0,0,4,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1173,0,13,0,233
13057090709,0,9,0,0,7,5,0,0,0,0,0,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,939,0,3,0,158
13057090710,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,5,0,0
13057090805,0,10,0,1,9,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1718,92,11,0,0
13057090806,0,1,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,0,2,0,343
13057090807,0,6,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2619,0,2,0,59
13057090808,0,5,0,0,17,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275,80,4,0,0
13057090809,2,11,0,0,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1540,0,17,0,0
13057090810,0,18,0,0,13,0,0,1,0,0,2,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,1552,0,9,0,1
13057090905,0,35,0,13,35,0,0,2,0,0,1,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,1541,1,3,0,71
13057090906,0,18,0,0,18,11,0,7,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1702,0,2,0,564
13057090907,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,0,0,0
13057090908,0,42,0,0,13,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,0,564
13057090909,0,27,0,16,39,1,0,5,0,0,3,9,0,0,0,0,9,0,9,0,0,0,3,16,53,0,0,1523,78,0,0,192
13057090910,0,3,0,12,8,1,0,1,0,0,0,2,0,0,0,0,5,0,7,0,0,0,0,1,0,0,0,1674,2,1,0,13
13057090911,0,27,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,12,0,4
13057090912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,0,44,0,1
13057091001,0,243,0,7,67,0,1,31,0,10,3,24,0,0,0,2,132,0,0,0,0,0,0,9,2,0,0,1110,0,9,0,633
13057091006,0,62,0,0,12,3,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0,0,0,58
13057091007,0,14,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,0,1,0,179
13057091009,0,34,0,0,7,0,0,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,34
13057091010,0,68,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0
13057091011,0,12,0,0,26,6,0,6,2,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1068,0,4,0,1
13057091012,0,6,0,0,8,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1202,0,2,0,0
13057091013,0,29,0,1,35,0,2,6,0,1,4,15,0,0,0,3,7,0,0,0,0,0,0,2,0,0,0,1112,0,38,0,78
13057091014,0,9,0,1,23,0,0,0,2,0,1,10,0,0,0,1,210,0,0,0,0,0,0,0,0,0,0,780,0,13,0,321
13057091101,0,4,0,5,14,0,0,2,0,0,3,4,0,0,0,2,18,0,0,0,0,0,0,1,0,0,0,2236,0,3,0,113
13057091104,0,1,0,0,3,0,0,3,0,10,3,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,1865,0,22,0,141
13057091105,0,4,2,0,22,0,1,3,6,0,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1255,0,4,0,0
13057091106,0,1,0,3,11,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1641,0,5,0,76
13057091107,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,0,3,0,382
13057091108,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,690,0,4,0,0
13063040202,0,10,3,0,68,0,0,5,0,3,6,0,0,3,0,0,13,0,0,3,0,38,0,114,2,0,0,590,0,0,0,0
13063040203,0,2,1,0,13,0,0,1,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,116,3,0,0,810,116,0,0,120
13063040204,0,11,14,0,15,0,0,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,38,5,0,0,912,0,1,0,0
13063040302,0,11,2,0,41,0,0,3,0,2,9,0,1,9,0,0,4,0,0,0,0,6,3,38,7,0,0,1337,0,0,0,0
13063040306,0,4,0,0,32,0,0,4,0,1,7,0,1,5,0,0,5,0,0,2,0,31,0,0,5,0,1,159,0,0,0,22
13063040307,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1503,0,0,0,0
13063040308,0,20,13,0,117,0,0,4,0,3,7,0,3,8,1,0,13,0,0,4,0,30,25,22,9,0,0,1035,105,0,0,8
13063040309,0,4,0,0,31,0,0,2,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,55,2,0,0,745,0,0,0,0
13063040310,0,22,1,0,94,0,0,16,0,1,4,0,3,11,0,1,0,0,0,0,0,0,3,16,5,0,0,1069,0,0,0,26
13063040407,0,14,1,0,161,0,0,8,0,0,5,0,6,11,0,1,17,0,0,2,0,3,0,2,12,0,0,1562,0,0,0,199
13063040409,1,2,0,0,11,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,30,2,0,0,1751,0,0,0,0
13063040410,0,15,0,4,95,0,0,8,0,0,6,0,2,1,0,0,9,0,0,1,0,15,0,4,2,0,2,2192,0,0,0,0
13063040414,0,6,7,0,14,0,0,10,0,6,4,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,539,0,0,0,0
13063040416,0,15,3,0,15,0,4,9,0,4,5,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1098,122,0,0,0
