GEOID,Submarket,General Landuse Type
13067031001,Submarket 4,Urban
13121010603,Submarket 4,Urban
13067031311,Submarket 4,Urban
13121010604,Submarket 4,Urban
13121006700,Submarket 4,Urban
13089021806,Submarket 4,Urban
13121008400,Submarket 4,Urban
13063040308,Submarket 4,Urban
13121011306,Submarket 4,Urban
13121011305,Submarket 4,Urban
13067030344,Submarket 4,Urban
13121007808,Submarket 4,Urban
13121007604,Submarket 4,Urban
13121010507,Submarket 4,Urban
13089021906,Submarket 4,Urban
13089023213,Submarket 4,Urban
13089021911,Submarket 4,Urban
13089023413,Submarket 4,Urban
13121011800,Submarket 4,Urban
13121007807,Submarket 4,Urban
13121007100,Submarket 4,Urban
13089023412,Submarket 4,Urban
13089022010,Submarket 4,Urban
13121008500,Submarket 4,Urban
13089023507,Submarket 4,Urban
13089022004,Submarket 4,Urban
13135050537,Submarket 4,Urban
13121012000,Submarket 4,Urban
13089023108,Submarket 4,Urban
13121003900,Submarket 4,Urban
13121006802,Submarket 4,Urban
13121008601,Submarket 4,Urban
13121007001,Submarket 4,Urban
13121002300,Submarket 4,Urban
13067030413,Submarket 4,Urban
13089023411,Submarket 4,Urban
13089023204,Submarket 4,Urban
13121008602,Submarket 4,Urban
13063040202,Submarket 4,Urban
13121007705,Submarket 4,Urban
13121007806,Submarket 4,Urban
13121011201,Submarket 4,Urban
13121010511,Submarket 4,Urban
13121002400,Submarket 4,Urban
13063040306,Submarket 4,Urban
13089023111,Submarket 4,Urban
13121003800,Submarket 4,Urban
13089023505,Submarket 4,Urban
13089023410,Submarket 4,Urban
13089023425,Submarket 4,Urban
13067031004,Submarket 4,Urban
13089021910,Submarket 4,Urban
13089023112,Submarket 4,Urban
13089023114,Submarket 4,Urban
13121007400,Submarket 4,Urban
13121007704,Submarket 4,Urban
13121007300,Submarket 4,Urban
13089022008,Submarket 4,Urban
13121005700,Submarket 4,Urban
13089023206,Submarket 4,Urban
13121008102,Submarket 4,Urban
