GEOID,COUNTYNAME,pop_density,Job_to_pop_ratio,%_renter_occupied,%_units_10-19_structure,%_units_20+_structures,FAR_avg,designation,price_sf_21,price_sf_22,price_sf_23,1yrChange_num,1yrChange_per,2yrChange_num,2yrChange_per
13089020100,DeKalb,5288.620827,0.041856233,33.7,3.5,16.3,0.21405282894193894,Rural,362.5871145052731,417.7181819486091,485.08997429305913,67.37179234445006,16.128527618828585,122.50285978778601,33.78577309757224
13121006602,Fulton,3395.016983,0.114595899,69.3,6.3,0.0,0.12902866934511492,Urban,199.50124688279303,169.84774531944345,170.78488372093022,0.9371384014867772,0.5517520410555002,-28.7163631618628,-14.394077034883729
13089021416,DeKalb,7263.581415,0.122879413,29.9,5.8,0.0,0.7541074521942731,Suburban,272.76100433586635,307.88958578310985,284.320137983148,-23.569447799961836,-7.655162398563597,11.55913364728167,4.237824858955366
13135050536,Gwinnett,2234.845467,1.739137087,41.6,1.2,5.9,0.1220208371791234,Urban,147.38068670525604,180.73654390934848,194.85530546623795,14.118761556889467,7.811791268937274,47.47461876098191,32.21223880977399
13121011000,Fulton,2479.948187,1.323127997,50.6,0.0,15.1,0.1260370825639061,Urban,156.55103638036877,179.92424242424244,154.52374031007753,-25.400502114164908,-14.117331701346389,-2.027296070291243,-1.2949745445092833
13121000700,Fulton,4246.295082,0.419399379,36.0,0.0,15.1,0.2014203841327894,Rural,279.18781725888323,369.7202380952381,343.8582251082251,-25.862012987012974,-6.995022268797483,64.67040784934187,23.163764266037
13067031507,Cobb,2092.982441,0.191708229,30.3,0.0,0.0,0.11284436435026735,Rural,158.3673469387755,173.26732673267327,170.29972752043597,-2.967599212237303,-1.7127286882055293,11.932380581660453,7.534621759038172
13089023101,DeKalb,2943.522754,0.112819241,36.1,1.1,2.8,0.11758100400353985,Rural,195.0,222.38955823293173,232.5656364943136,10.17607826138186,4.575789592928367,37.565636494313594,19.264428971442868
13121006400,Fulton,1591.538622,0.273316062,59.4,0.0,5.3,0.12052016408352836,Urban,262.96032874980244,267.7677677677678,252.17907092907092,-15.588696838696876,-5.821722669853524,-10.781257820731525,-4.09995601693574
13121001001,Fulton,13292.58418,2.542291667,68.1,1.3,87.7,1.7786375366544929,Suburban,350.44776119402985,380.4849884526559,401.5083979328165,21.02340948016058,5.525424160794859,51.06063673878663,14.570113549824123
13089020400,DeKalb,6930.964371,0.354374308,20.3,4.0,4.3,0.15411947974812,Rural,298.143232194701,394.2022735132821,367.5273232232412,-26.674950290040897,-6.766817971977557,69.38409102854018,23.272066421829503
13089021703,DeKalb,2156.72428,0.350437184,6.5,0.0,2.6,0.12100141999504402,Rural,237.1398743271047,251.72231054583995,277.56170263943216,25.83939209359221,10.265038501180737,40.42182831232745,17.045563689795422
13089021305,DeKalb,6416.37455,0.071559971,66.8,22.7,25.7,0.14191848332035328,Urban,199.5227765726681,247.1166892808684,253.37966368224818,6.262974401379779,2.5344198401190923,53.85688710958007,26.992851660704954
13121003700,Fulton,5461.455847,1.507853403,100.0,0.0,91.5,,Urban,,,,,,,
13097080508,Douglas,2030.001666,0.712795276,50.9,17.5,7.9,0.09148437277125132,Urban,137.1976729924699,166.57667386609072,165.4338455960845,-1.1428282700062198,-0.6860674087687257,28.23617260361459,20.580649793647982
13121006900,Fulton,2952.677426,2.615812918,43.8,2.1,0.4,0.13554923526603085,Urban,269.44444444444446,295.7818930041152,306.60377358490564,10.821880580790435,3.658736669401149,37.15932914046118,13.791091227387655
13121010120,Fulton,7047.07914,0.098618573,47.9,16.4,2.9,0.5810660137142579,Suburban,166.5668922436231,197.03716814159293,220.73517511127096,23.698006969678033,12.027175985724888,54.16828286764786,32.52043796820113
13135050729,Gwinnett,4160.304349,0.244841178,45.9,3.5,18.1,0.09781457889617826,Urban,152.69886363636363,193.83596535914415,162.52006420545746,-31.315901153686696,-16.155877520285674,9.821200569093833,6.431744372690288
13117130103,Forsyth,577.4988644,0.072875339,14.7,0.0,0.0,0.04097675790589111,Rural,192.82407407407408,215.27777777777777,213.0681818181818,-2.2095959595959584,-1.0263929618768324,20.244107744107737,10.49874495252646
13135050537,Gwinnett,3205.955379,0.76104557,89.6,27.6,33.0,0.08981375981585621,Urban,150.41617122473247,164.36759793501366,144.35963340862475,-20.007964526388918,-12.172693875041908,-6.056537816107721,-4.026520397902445
13121003500,Fulton,5411.597254,8.821280992,85.3,7.0,87.2,0.7297282985794106,Urban,236.0762592015085,245.9016393442623,282.258064516129,36.35642517186673,14.784946236559138,46.18180531462053,19.56224038402818
13117130604,Forsyth,2171.212975,0.430206379,10.7,0.0,0.0,0.14693011370190873,Rural,182.25874420564685,222.35872235872236,229.18797953964193,6.829257180919569,3.0712791962809556,46.92923533399508,25.748687964756144
13089022007,DeKalb,10531.28789,0.071949737,87.2,20.6,18.8,0.0964595270458351,Urban,66.99424521322683,178.3181357649443,180.92610927690419,2.607973511959898,1.4625396910820563,113.93186406367735,170.06216534130533
13135050317,Gwinnett,7132.107491,0.301806889,88.7,27.2,14.7,1.4455210042930537,Suburban,144.23076923076923,185.97740416602693,196.23875715453804,10.261352988511106,5.5175267310164875,52.00798792376881,36.058871627146374
13121004200,Fulton,4768.084281,0.495602463,79.1,16.1,66.1,0.3781176694353203,Urban,190.89897312673344,212.3934493499711,214.15571462474423,1.7622652747731422,0.8297173383484966,23.256741498010797,12.182748349605411
13121980000,Fulton,0.0,20.0,,,,2.7227272727272727,Urban,,,,,,,
13121003100,Fulton,8626.1091,0.170848708,59.3,6.7,39.6,0.33444606913692054,Urban,329.3756150565852,360.18222799511,367.7083333333333,7.526105338223317,2.089527120789951,38.332718276748096,11.637995201971073
13067030414,Cobb,3351.64512,2.108490566,100.0,33.7,43.2,0.2251877151530159,Urban,34.5153895493153,141.78823104578117,,,,,
13067031212,Cobb,1654.015073,0.228235294,9.6,0.0,0.0,0.09345690876762464,Rural,285.96570968667686,305.03453042753927,301.6978431061607,-3.3366873213785766,-1.0938720008852258,15.73213341948383,5.501405548490763
13121004400,Fulton,11377.18861,0.157662624,91.7,0.0,71.4,0.38271289764079475,Suburban,218.44660194174756,193.1266846361186,222.22222222222223,29.09553758610363,15.065519112972014,3.7756202804746692,1.7283950617284043
13121007400,Fulton,3526.35016,0.595965963,76.2,6.3,19.9,0.09514894265642102,Urban,136.20833333333331,159.22855879752433,160.26516145970072,1.0366026621763922,0.6510155401799123,24.056828126367407,17.661788774329086
13063040615,Clayton,1783.839739,0.049455535,29.6,0.0,0.0,0.2157766680174279,Rural,106.81606656275581,130.13650248186332,145.90834697217676,15.771844490313441,12.119462402573413,39.09228040942095,36.59775319142064
13089023425,DeKalb,3234.233371,0.140730067,18.3,0.7,4.3,0.15379940662701827,Rural,116.945107398568,147.73638325904744,150.3543474568798,2.6179641978323502,1.7720510953905626,33.409240058311795,28.56830935598499
13121003800,Fulton,12134.44255,0.237023779,91.8,62.7,0.0,0.28185672583094623,Urban,183.8235294117647,164.58226976976977,135.91800356506238,-28.66426620470739,-17.41637555783205,-47.90552584670232,-26.060606060606062
13121007500,Fulton,2394.190347,0.287760417,69.7,6.4,28.1,0.10848981937672293,Urban,164.67573771449005,167.57025143973675,168.99192628456996,1.4216748448332055,0.8484052703975814,4.316188570079902,2.6210227626629385
13089021813,DeKalb,10711.97674,0.124886467,98.5,31.2,52.6,1.431834354081474,Suburban,,4752.851711026616,,,,,
13067031114,Cobb,6071.280754,0.540524163,77.0,36.0,15.9,0.30439559987797243,Urban,192.08211143695016,235.3896103896104,251.3566010177158,15.966990628105407,6.783218087526159,59.274489580765646,30.858932743574176
13121008301,Fulton,2953.45136,0.094761428,56.2,4.7,12.5,0.10124538225524715,Urban,146.27363737486095,142.82107935042833,149.40588251343758,6.584803163009241,4.610526116283333,3.1322451385766215,2.141359984471774
13121003900,Fulton,4803.899709,0.350832266,63.9,4.4,8.8,0.20176444139021762,Urban,187.18853820598008,201.92307692307693,143.12211449505764,-58.80096242801929,-29.120476631019077,-44.066423710922436,-23.541197625269266
13151070310,Henry,1054.344542,0.167093361,19.4,0.0,0.0,0.23557590043102172,Rural,111.98214223472786,157.95933528205293,158.46331397809473,0.5039786960417985,0.3190559742112688,46.48117174336687,41.507664361284334
13121011612,Fulton,1269.631904,0.558047119,3.6,0.0,0.0,0.14161357686999596,Rural,196.30567842251943,222.30723872121268,249.56053523777246,27.25329651655977,12.259293342551533,53.25485681525302,27.12853608881842
13117130602,Forsyth,2853.824148,0.584665579,31.7,0.0,0.0,0.21617557113500208,Rural,195.03546099290784,241.50143519230818,235.36828719433527,-6.133147997972912,-2.5395907039182073,40.33282620142742,20.679739979640964
13089020200,DeKalb,3321.81601,0.273469388,34.8,6.0,17.1,0.5071097030340711,Rural,320.1219512195122,329.4663573085847,334.9679066524485,5.501549343863815,1.669836455778383,14.845955432936307,4.637593697145817
13063040617,Clayton,3499.118869,0.221917808,56.2,0.0,0.0,0.054350604956844184,Urban,,,,,,,
13121007603,Fulton,2834.595524,0.147654893,95.1,17.1,30.6,0.13080231817455795,Urban,170.6700379266751,168.64959514443808,183.12763508649806,14.47803994205998,8.584687042776725,12.457597159822967,7.299229150681458
